Site_ID,Sector_ID,Cell_ID,Vendor,Antenna_model,Azimuth,Frequency,Polarization ,Tilt,Antenna_Height,Antenna_Power,Antenna_receiver_sensitivity_dbm,Antenna_horizontal_beamwidth,Antenna_vertical_beamwidth,Front_to_back_ratio_dB
MW0010,MW0010-1,107,Rosenberger,BA-G6W9W9X65V-00M,0,,,2,50,2*40 W,,,,
MW0010,MW0010-2,108,Rosenberger,BA-G6W9W9X65V-00M,120,,,2,50,2*40 W,,,,
MW0010,MW0010-3,109,Rosenberger,BA-G6W9W9X65V-00M,200,,,2,50,2*40 W,,,,
MW0557,MW0557-1,5577,Kathrein,742266,0,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,22,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.5,> 26 & > 28
MW0557,MW0557-2,5578,Kathrein,742266,140,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,22,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.6,> 26 & > 28
MW0557,MW0557-3,5579,Kathrein,742266,260,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,22,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.7,> 26 & > 28
MW6047,MW6047-1,60477,Huawei,ATR451607,70,790-2690MHzÊ,3xDual Polarization,2,28,2*40 W,,60,4.3,28db
MW6047,MW6047-2,60478,Huawei,ATR451607,170,790-2690MHzÊ,3xDual Polarization,2,28,2*40 W,,60,4.3,28db
MW6047,MW6047-3,60479,Huawei,ATR451607,350,790-2690MHzÊ,3xDual Polarization,2,28,2*40 W,,60,4.3,28db
MW6002,MW6002-1,60027,Andrew,TBXLHA-6565DC-VTM,80,824Ð960&1710Ð2180,3xDual Polarization,2,38,2*40 W,,66.8&61.9,9.2&9.1,>25
MW6002,MW6002-2,60028,Andrew,TBXLHA-6565DC-VTM,160,824Ð960&1710Ð2180,3xDual Polarization,2,38,2*40 W,,66.8&61.9,9.2&9.1,>25
MW6002,MW6002-3,60029,Andrew,TBXLHA-6565DC-VTM,320,824Ð960&1710Ð2180,3xDual Polarization,2,38,2*40 W,,66.8&61.9,9.2&9.1,>25
MW6000,MW6000-1,60007,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,4,48,2*40 W,,66.8&61.9,9.2&9.1,>25
MW6000,MW6000-2,60008,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,4,48,2*40 W,,66.8&61.9,9.2&9.1,>25
MW6000,MW6000-3,60009,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,4,48,2*40 W,,66.8&61.9,9.2&9.1,>25
MW4026,MW4026-1,40267,RFS,APXVBLL26EX_43-C-I20,90,698MHz-2690MHz,3xDual Polarization,2,20,2*40 W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4026,MW4026-2,40268,RFS,APXVBLL26EX_43-C-I20,210,698MHz-2690MHz,3xDual Polarization,2,20,2*40 W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4026,MW4026-3,40269,RFS,APXVBLL26EX_43-C-I20,330,698MHz-2690MHz,3xDual Polarization,2,20,2*40 W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4021,MW4021-1,40217,RFS,APXVBLL26EX_43-C-I20,20,698MHz-2690MHz,3xDual Polarization,2,45,2*40 W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4021,MW4021-2,40218,RFS,APXVBLL26EX_43-C-I20,140,698MHz-2690MHz,3xDual Polarization,2,45,2*40 W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4021,MW4021-3,40219,RFS,APXVBLL26EX_43-C-I20,260,698MHz-2690MHz,3xDual Polarization,2,45,2*40 W,,67&66&63,16.2&7.8&6.6,>23.6db
