Site_ID,Sector_ID,Cell_ID,Vendor,Antenna_model,Azimuth,Frequency,Polarization ,Tilt,Antenna_Height,Antenna_Power,Antenna_receiver_sensitivity_dbm,Antenna_horizontal_beamwidth,Antenna_vertical_beamwidth,Front_to_back_ratio_dB
MW0322,MW0322-1,3227,Andrew,DBXLH-6565C-VTM,60,824Ð960MHz&1710Ð2180,Dual Polarization,2,40,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW0322,MW0322-2,3228,Andrew,DBXLH-6565C-VTM,170,824Ð960MHz&1710Ð2180,Dual Polarization,2,40,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW0322,MW0322-3,3229,Andrew,DBXLH-6565C-VTM,350,824Ð960MHz&1710Ð2180,Dual Polarization,2,40,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW5530,MW5530-1,55307,Andrew,DBXLH-6565C-VTM,50,824Ð960MHz&1710Ð2180,Dual Polarization,2,28,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW5530,MW5530-2,55308,Andrew,DBXLH-6565C-VTM,140,824Ð960MHz&1710Ð2180,Dual Polarization,2,28,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW5530,MW5530-3,55309,Andrew,DBXLH-6565C-VTM,270,824Ð960MHz&1710Ð2180,Dual Polarization,2,28,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW5510,MW5510-1,55107,Kathrein,742266,130,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,30,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.29,> 26 & > 28
MW5510,MW5510-2,55108,Kathrein,742266,220,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,30,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.30,> 26 & > 28
MW5510,MW5510-3,55109,Kathrein,742266,310,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,30,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.31,> 26 & > 28
MW0224,MW0224-1,2247,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW0224,MW0224-2,2248,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW0224,MW0224-3,2249,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW0374,MW0374-1,3747,Andrew,DBXLH-6565C-VTM,80,824Ð960MHz&1710Ð2180,Dual Polarization,4,30,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW0374,MW0374-2,3748,Andrew,DBXLH-6565C-VTM,200,824Ð960MHz&1710Ð2180,Dual Polarization,2,30,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW0374,MW0374-3,3749,Andrew,DBXLH-6565C-VTM,320,824Ð960MHz&1710Ð2180,Dual Polarization,3,30,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW1159,MW1159-1,2257,,742266V011.pafx,0,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,25,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.38,> 26 & > 28
MW1159,MW1159-2,2258,Kathrein,742266V011.pafx,120,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,25,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.39,> 26 & > 28
MW1159,MW1159-3,2259,Kathrein,742266V011.pafx,240,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,25,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.40,> 26 & > 28
MW5924,MW5924-1,59247,Andrew,DBXLH-6565C-VTM,40,824Ð960MHz&1710Ð2180,Dual Polarization,2,28,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW5924,MW5924-2,59248,Andrew,DBXLH-6565C-VTM,140,824Ð960MHz&1710Ð2180,Dual Polarization,4,28,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW5924,MW5924-3,59249,Andrew,DBXLH-6565C-VTM,280,824Ð960MHz&1710Ð2180,Dual Polarization,3,28,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW1305,MW1305-1,60837,Kathrein,742266V011.pafx,0,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,25,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.44,> 26 & > 28
MW1305,MW1305-2,60838,Kathrein,742266V011.pafx,120,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,25,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.45,> 26 & > 28
MW1305,MW1305-3,60839,Kathrein,742266V011.pafx,240,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,25,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.46,> 26 & > 28
MW0378,MW0378-1,3787,Kathrein,742266,100,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,4,22,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.47,> 26 & > 28
MW0378,MW0378-2,3788,Kathrein,742266,230,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,22,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.48,> 26 & > 28
MW0378,MW0378-3,3789,Kathrein,742266,340,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,22,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.49,> 26 & > 28
MW6218,MW6218-1,62187,Andrew,DBXLH-6565C-VTM,70,824Ð960MHz&1710Ð2180,Dual Polarization,4,29,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW6218,MW6218-2,62188,Andrew,DBXLH-6565C-VTM,210,824Ð960MHz&1710Ð2180,Dual Polarization,2,29,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW6218,MW6218-3,62189,Andrew,DBXLH-6565C-VTM,340,824Ð960MHz&1710Ð2180,Dual Polarization,2,29,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW0381,MW0381-1,3817,Kathrein,742266,80,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,33,2*20 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.53,> 26 & > 28
MW0381,MW0381-2,3818,Kathrein,742266,200,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,33,2*20 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.54,> 26 & > 28
MW0381,MW0381-3,3819,Kathrein,742266,340,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,33,2*20 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.55,> 26 & > 28
MW0364,MW0364-1,3647,Kathrein,742266,80,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.56,> 26 & > 28
MW0364,MW0364-2,3648,Kathrein,742266,250,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.57,> 26 & > 28
MW0364,MW0364-3,3649,Kathrein,742266,320,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.58,> 26 & > 28
MW6326,MW6326-1,63267,Andrew,DBXLH-6565C-VTM,90,824Ð960MHz&1710Ð2180,Dual Polarization,2,30,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW6326,MW6326-2,63268,Andrew,DBXLH-6565C-VTM,210,824Ð960MHz&1710Ð2180,Dual Polarization,2,30,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW6326,MW6326-3,63269,Andrew,DBXLH-6565C-VTM,330,824Ð960MHz&1710Ð2180,Dual Polarization,2,30,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW4027,MW4027-1,40277,RFS,APXVBLL26EX_43-C-I20,90,698MHz-2690MHz,3xDual Polarization,2,38,2*30 W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4027,MW4027-2,40278,RFS,APXVBLL26EX_43-C-I20,210,698MHz-2690MHz,3xDual Polarization,2,38,2*30 W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4027,MW4027-3,40279,RFS,APXVBLL26EX_43-C-I20,330,698MHz-2690MHz,3xDual Polarization,2,38,2*30 W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4027,MW4027-1,24047,Kathrein,742266V011.pafx,90,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,38,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.65,> 26 & > 28
MW4027,MW4027-2,24048,Kathrein,742266V011.pafx,210,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,38,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.66,> 26 & > 28
MW4027,MW4027-3,24049,Kathrein,742266V011.pafx,330,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,38,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.67,> 26 & > 28
MW4012,MW4012-1,40127,RFS,APXVBLL26EX_43-C-I20,90,698MHz-2690MHz,3xDual Polarization,2,38,2*40 W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4012,MW4012-2,40128,RFS,APXVBLL26EX_43-C-I20,210,698MHz-2690MHz,3xDual Polarization,2,38,2*40 W,,67&66&63,16.2&7.8&6.6,>23.6db
MW4012,MW4012-3,40129,RFS,APXVBLL26EX_43-C-I20,330,698MHz-2690MHz,3xDual Polarization,2,38,2*40 W,,67&66&63,16.2&7.8&6.6,>23.6db
MW1404,MW1404-1,2497,Kathrein,742266V011.pafx,0,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,25,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.71,> 26 & > 28
MW1404,MW1404-2,2498,Kathrein,742266V011.pafx,120,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,25,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.72,> 26 & > 28
MW1404,MW1404-3,2499,Kathrein,742266V011.pafx,240,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,25,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.73,> 26 & > 28
MW0313,MW0313-1,3137,Kathrein,742266,90,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,38,2*30 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.74,> 26 & > 28
MW0313,MW0313-2,3138,Kathrein,742266,220,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,38,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.75,> 26 & > 28
MW0313,MW0313-3,3139,Kathrein,742266,340,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,38,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.76,> 26 & > 28
MW0400,MW0400-1,4007,Kathrein,742266,90,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,4,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.77,> 26 & > 28
MW0400,MW0400-2,4008,Kathrein,742266,200,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,4,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.78,> 26 & > 28
MW0400,MW0400-3,4009,Kathrein,742266,330,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.79,> 26 & > 28
MW0250,MW0250-1,2507,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW0250,MW0250-2,2508,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW0250,MW0250-3,2509,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW5541,MW5541-1,55417,Andrew,DBXLH-6565C-VTM,40,824Ð960MHz&1710Ð2180,Dual Polarization,4,29,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW5541,MW5541-2,55418,Andrew,DBXLH-6565C-VTM,170,824Ð960MHz&1710Ð2180,Dual Polarization,4,29,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW5541,MW5541-3,55419,Andrew,DBXLH-6565C-VTM,260,824Ð960MHz&1710Ð2180,Dual Polarization,4,29,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW0386,MW0386-1,3867,Andrew,DBXLH-6565C-VTM,110,824Ð960MHz&1710Ð2180,Dual Polarization,2,30,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW0386,MW0386-2,3868,Andrew,DBXLH-6565C-VTM,210,824Ð960MHz&1710Ð2180,Dual Polarization,2,30,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW0386,MW0386-3,3869,Andrew,DBXLH-6565C-VTM,340,824Ð960MHz&1710Ð2180,Dual Polarization,2,30,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW0312,MW0312-1,3127,Kathrein,739494,90,,,2,40,2*20 W,,,,
MW0312,MW0312-2,3128,Kathrein,739494,200,,,2,40,2*20 W,,,,
MW0312,MW0312-3,3129,Kathrein,739494,260,,,2,40,2*20 W,,,,
MW0226,MW0226-1,2267,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW0226,MW0226-2,2268,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW0226,MW0226-3,2269,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW0389,MW0389-1,3897,Kathrein,742266,90,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,3,26,2*20 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.95,> 26 & > 28
MW0389,MW0389-2,3898,Kathrein,742266,210,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,4,26,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.96,> 26 & > 28
MW0389,MW0389-3,3899,Kathrein,742266,0,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,4,26,2*20 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.97,> 26 & > 28
MW0475,MW0475-1,4757,Kathrein,742266,70,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,4,28,2*20 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.98,> 26 & > 28
MW0475,MW0475-2,4758,Kathrein,742266,220,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,2*20 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.99,> 26 & > 28
MW0475,MW0475-3,4759,Kathrein,742266,330,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,2*20 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.100,> 26 & > 28
MW5514,MW5514-1,55147,Kathrein,742266,90,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,0,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.101,> 26 & > 28
MW5514,MW5514-2,55148,Kathrein,742266,210,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,4,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.102,> 26 & > 28
MW5514,MW5514-3,55149,Kathrein,742266,330,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.103,> 26 & > 28
MW4006,MW4006-1,40067,Kathrein,742266V011.pafx,90,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,48,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.104,> 26 & > 28
MW4006,MW4006-2,40068,Kathrein,742266V011.pafx,210,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,48,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.105,> 26 & > 28
MW4006,MW4006-3,40069,Kathrein,742266V011.pafx,330,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,48,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.106,> 26 & > 28
MW1511,MW1511-1,2657,Kathrein,742266V011.pafx,0,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,25,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.107,> 26 & > 28
MW1511,MW1511-2,2658,Kathrein,742266V011.pafx,120,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,25,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.108,> 26 & > 28
MW1511,MW1511-3,2659,Kathrein,742266V011.pafx,240,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,25,2*40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.109,> 26 & > 28
MW5501,MW5501-1,55017,Andrew,DBXLH-6565C-VTM,70,824Ð960MHz&1710Ð2180,Dual Polarization,2,34,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW5501,MW5501-2,55018,Andrew,DBXLH-6565C-VTM,210,824Ð960MHz&1710Ð2180,Dual Polarization,2,34,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW5501,MW5501-3,55019,Andrew,DBXLH-6565C-VTM,340,824Ð960MHz&1710Ð2180,Dual Polarization,3,34,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW0220,MW0220-1,2207,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW0220,MW0220-2,2208,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW0220,MW0220-3,2209,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW0311,MW0311-1,3117,Andrew,DBXLH-6565C-VTM,20,824Ð960MHz&1710Ð2180,Dual Polarization,3,29,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW0311,MW0311-2,3118,Kathrein,742266,130,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,3,29,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.117,> 26 & > 28
MW0311,MW0311-3,3119,Kathrein,742266,280,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,3,29,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.118,> 26 & > 28
MW0397,MW0397-1,3977,Kathrein,742266,90,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,1,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.119,> 26 & > 28
MW0397,MW0397-2,3978,Kathrein,742266,200,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,1,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.120,> 26 & > 28
MW0397,MW0397-3,3979,Kathrein,742266,290,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,0,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.121,> 26 & > 28
MW0471,MW0471-1,4717,Kathrein,742266,20,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.122,> 26 & > 28
MW0471,MW0471-2,4718,Kathrein,742266,180,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.123,> 26 & > 28
MW0471,MW0471-3,4719,Kathrein,742266,300,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,2*40 W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.124,> 26 & > 28
MW0227,MW0227-1,2277,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW0227,MW0227-2,2278,Andrew,TBXLHA-6565DC-VTM,120,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW0227,MW0227-3,2279,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,2,25,2*40 W,,66.8&61.9,9.2&9.1,>25
MW0473,MW0473-1,4737,Andrew,DBXLH-6565C-VTM,80,824Ð960MHz&1710Ð2180,Dual Polarization,4,48,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW0473,MW0473-2,4738,Andrew,DBXLH-6565C-VTM,190,824Ð960MHz&1710Ð2180,Dual Polarization,2,48,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW0473,MW0473-3,4739,Andrew,DBXLH-6565C-VTM,300,824Ð960MHz&1710Ð2180,Dual Polarization,2,48,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW6323,MW6323-1,63237,Andrew,DBXLH-6565C-VTM,20,824Ð960MHz&1710Ð2180,Dual Polarization,0,29,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW6323,MW6323-2,63238,Andrew,DBXLH-6565C-VTM,125,824Ð960MHz&1710Ð2180,Dual Polarization,2,29,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW6323,MW6323-3,63239,Andrew,DBXLH-6565C-VTM,290,824Ð960MHz&1710Ð2180,Dual Polarization,0,29,2*40 W,,67.2&61.9,7.4&4.6,>27db
MW5934,MW5934-1,59347,Andrew,TBXLHA-6565DC-VTM,40,824Ð960&1710Ð2180,3xDual Polarization,2,28,2*40 W,,66.8&61.9,9.2&9.1,>25
MW5934,MW5934-2,59348,Andrew,TBXLHA-6565DC-VTM,160,824Ð960&1710Ð2180,3xDual Polarization,2,28,2*40 W,,66.8&61.9,9.2&9.1,>25
MW5934,MW5934-3,59349,Andrew,TBXLHA-6565DC-VTM,260,824Ð960&1710Ð2180,3xDual Polarization,2,28,2*40 W,,66.8&61.9,9.2&9.1,>25
