Site_ID,Sector_ID,Cell_ID,Vendor,Antenna_model,Azimuth,Frequency,Polarization ,Tilt,Antenna_Height,Antenna_Power,Antenna_receiver_sensitivity_dbm,Antenna_horizontal_beamwidth,Antenna_vertical_beamwidth,Front_to_back_ratio_dB,
MW0470,MW0470-2,4702,Kathrein,742266,180,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1654,> 26 & > 28,
MW0470,MW0470-3,4703,Kathrein,742266,340,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1655,> 26 & > 28,
MW5712,MW5712-1,57121,Rosenberger,BA-G6W9W9X65V-00M,80,,,0,38,20W,-110,,,,
MW5712,MW5712-2,57122,Rosenberger,BA-G6W9W9X65V-00M,140,,,0,38,20W,-110,,,,
MW5712,MW5712-3,57123,Rosenberger,BA-G6W9W9X65V-00M,270,,,0,38,20W,-110,,,,
MW5306,MW5306-1,53061,Rosenberger,BA-G6W9W9X65V-00M,20,,,2,36,20W,-110,,,,
MW5306,MW5306-2,53062,Rosenberger,BA-G6W9W9X65V-00M,150,,,2,36,20W,-110,,,,
MW5306,MW5306-3,53063,Rosenberger,BA-G6W9W9X65V-00M,260,,,3,36,20W,-110,,,,
MW0341,MW0341-1,3411,Andrew,DBXLH-6565C-VTM,40,824Ð960MHz&1710Ð2180,Dual Polarization,2,48,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW0341,MW0341-2,3412,Andrew,DBXLH-6565C-VTM,160,824Ð960MHz&1710Ð2180,Dual Polarization,2,48,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW0341,MW0341-3,3413,Andrew,DBXLH-6565C-VTM,260,824Ð960MHz&1710Ð2180,Dual Polarization,2,48,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW5410,MW5410-1,54101,Rosenberger,BA-G6W9W9X65V-00M,300,,,2,28,20W,-110,,,,
MW5410,MW5410-2,54102,Rosenberger,BA-G6W9W9X65V-00M,60,,,2,28,20W,-110,,,,
MW5410,MW5410-3,54103,Rosenberger,BA-G6W9W9X65V-00M,190,,,2,28,20W,-110,,,,
MW5409,MW5409-1,54091,Rosenberger,BA-G6W9W9X65V-00M,20,,,2,50,20W,-110,,,,
