Site_ID,Sector_ID,Cell_ID,Vendor,Antenna_model,Azimuth,Frequency,Polarization ,Tilt,Antenna_Height,Antenna_Power,Antenna_receiver_sensitivity_dbm,Antenna_horizontal_beamwidth,Antenna_vertical_beamwidth,Front_to_back_ratio_dB,
MW5906,MW5906-3,59063,Rosenberger,BA-G6W9W9X65V-00M,310,,,0,48,20W,-110,,,,
MW5909,MW5909-1,59091,Andrew,LBX-6515DS-TOM,0,790-960,Dual Polarization,1,48,20W,-110,65,7.6,30db,
MW5909,MW5909-2,59092,Andrew,LBX-6515DS-TOM,90,790-960,Dual Polarization,1,48,20W,-110,65,7.6,30db,
MW5909,MW5909-3,59093,Andrew,LBX-6515DS-TOM,240,790-960,Dual Polarization,1,48,20W,-110,65,7.6,30db,
MW5809,MW5809-1,58091,Rosenberger,BA-G6W9W9X65V-00M,0,,,2,40,20W,-110,,,,
MW5809,MW5809-2,58092,Rosenberger,BA-G6W9W9X65V-00M,90,,,2,40,20W,-110,,,,
MW5809,MW5809-3,58093,Rosenberger,BA-G6W9W9X65V-00M,200,,,2,40,20W,-110,,,,
MW5830,MW5830-1,58301,Rosenberger,BA-G6W9W9X65V-00M,0,,,2,48,20W,-110,,,,
MW5830,MW5830-2,58302,Rosenberger,BA-G6W9W9X65V-00M,170,,,2,48,20W,-110,,,,
MW5830,MW5830-3,58303,Rosenberger,BA-G6W9W9X65V-00M,270,,,0,48,20W,-110,,,,
