PK_Site_ID,Sitename,Longitude,Latitude,Site_Technology,Transmission,Landlord,Diesel_Generator,Solar_Power,ESCOM_Main_Grid,Clutter_class 
MW0226, AREA25ASSEMB , 33.771490 ,-13.882620 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW0238, CHILOMONIPOL , 34.988300 ,-15.768840 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW1305, AREA12ZIKOMO , 33.821239 ,-13.948781 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW0224, AREA11NEW , 33.802359 ,-13.950143 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW1307, AREA3POLICE , 33.768340 ,-13.988719 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW0252, AREA47GLOBEG2 , 33.761721 ,-13.947238 , 2G+3G+4G ,Access,Globe, YES ,No,Yes,Dense Urban
MW0250, AREA23MIDLAND , 33.816600 ,-14.007720 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW1401, CHINSAPO2 , 33.723310 ,-14.022430 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW1404, AREA21CHILINDE , 33.818047 ,-13.995283 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW1407, CHIWANJA , 34.007604 ,-11.437273 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Urban
MW0277, MZUZUEXCHANGE , 34.027556 ,-11.463694 , 2G+3G+4G ,Access,MTL, YES ,No,Yes,Urban
MW0278, GAMECOMPLEX , 33.768747 ,-13.986812 , 2G+3G+4G ,Access,Airtel, YES ,No,Yes,Dense Urban
MW0295, CROWNHOTEL , 33.764424 ,-13.983448 , 2G+3G+4G ,Access,Airtel, YES ,No,Yes,Dense Urban
MW1503, MACRA , 35.020280 ,-15.796220 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW0276, CHIMALIROTNM , 35.070970 ,-15.853470 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW1505, FARGO , 34.982580 ,-15.779220 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW1506, MANJAPRIMARY , 35.025062 ,-15.820550 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW0255, NAPERIMOSQUE , 35.012000 ,-15.809300 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW1508, NAISI , 35.377180 ,-15.364080 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Urban
