PK_Site_ID,Sitename,Longitude,Latitude,Site_Technology,Transmission,Landlord,Diesel_Generator,Solar_Power,ESCOM_Main_Grid,Clutter_class 
MW4009, BWEMBA , 33.724388 ,-14.001756 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Dense Urban
MW4010, CHIBAVIRESIDENTIAL , 34.005180 ,-11.450020 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Urban
MW4011, GEISHA , 33.981870 ,-11.472610 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Urban
MW4012, AREA1B , 33.995077 ,-11.401880 , 2G+3G+4G ,Access,TNM, YES ,No,No,Urban
MW4013, MCHENGAUTUBA , 33.991950 ,-11.446020 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Urban
MW4014, NKHATABAYNEW , 34.263365 ,-11.594240 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Residential
MW4015, CHITIPARESIDENTIAL , 33.274144 ,-9.711191 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Residential
MW4016, MCHEZI , 33.831910 ,-13.859770 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Dense Urban
MW4017, NALIKULE , 33.863530 ,-13.825130 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW4019, SALIMAADMARC , 34.477341 ,-13.789021 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Residential
MW4021, ANDIYAMO , 34.950010 ,-15.002950 , 2G+3G+4G ,Access,TNM, YES ,No,No,Residential
MW4022, LLBYPASS , 33.769916 ,-14.045934 , 2G+3G+4G ,Access,TNM, YES ,No,No,Dense Urban
MW4024, NEWGULLIVER , 33.754291 ,-13.927238 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Dense Urban
MW4025, BINGUSTADIUM , 33.752640 ,-13.943670 , 2G+3G+4G ,Access,BNS, YES ,No,Yes,Dense Urban
MW4026, AMARYLLISHOTEL-ULIMIHOUSE , 35.000609 ,-15.785027 , 2G+3G+4G ,Access,TNM, YES ,No,No,Dense Urban
MW4000, KHONJENI , 35.271276 ,-16.097402 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW4001, KHWISA , 34.943170 ,-14.890200 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Rural
MW4002, KADEWERE , 35.247190 ,-15.697368 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW4003, CHINUNKHA , 33.345630 ,-9.659352 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW4027, AREA18FILLINGSTATION , 33.780077 ,-13.943093 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Dense Urban
MW4005, CHIZUMULU , 34.623901 ,-12.018058 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2634, NKHAMENYA2 , 33.493040 ,-12.599869 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW2672, DOWATURNOFF , 33.805984 ,-13.720036 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2656, KACHULE , 33.662100 ,-14.119800 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2673, DANGALIRO , 33.679650 ,-13.676420 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW2617, NDEVU , 33.912700 ,-14.452800 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2674, SIMBI , 33.613461 ,-13.526537 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2606, CHIMBALANGA , 35.410030 ,-15.714000 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2675, LULANGA , 34.917005 ,-13.687610 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2621, NSANJECCAP , 35.263190 ,-16.909140 , 2G+3G+4G ,Access,TNM, YES ,No,No,Residential
MW2625, LUGOLA , 35.146922 ,-13.967250 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2649, MALAZA , 34.151500 ,-11.875600 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2658, KADETA , 34.660800 ,-14.683000 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2677, DOWARP , 33.934231 ,-13.684236 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2659, WIMBETC , 33.692040 ,-12.985160 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2619, CHIBUNGO , 33.451900 ,-13.963800 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2647, DZUNJE , 34.738100 ,-14.778200 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2614, BALANI , 33.827400 ,-14.318000 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2602, NAKUWAWA , 33.596900 ,-13.932400 , 2G+3G+4G ,Access,TVM, YES ,No,No,Rural
MW2633, MUWA , 35.551987 ,-15.486497 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2668, KASESE , 33.634210 ,-13.290300 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2652, KATHONGERA , 33.344600 ,-12.707400 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2618, MAUZI , 35.802934 ,-15.694270 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2613, NTSAPIRA , 33.257200 ,-13.696700 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2679, LIBANDAHILL , 35.542220 ,-14.594220 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2665, NAMTOMBOZI , 35.427700 ,-16.106700 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2681, LIVUNZU , 35.014510 ,-16.187000 , 2G+3G+4G ,Access,Airtel, YES ,No,No,rural
MW2605, CHIKOWA , 33.455200 ,-13.727600 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2651, KATOYI , 33.434100 ,-12.506000 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2683, KAPHAIZI , 33.379720 ,-12.994680 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2615, MPHAZA , 33.837800 ,-13.371100 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2662, NAMANDANJE , 35.481500 ,-14.879300 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Residential
MW2690, NAMPHUNGOTC , 35.348314 ,-15.807003 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2691, NJUMWA , 35.665885 ,-15.764888 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2685, MWALAWOYERA , 34.763969 ,-14.715250 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2686, KOKOLO , 35.574820 ,-15.772060 , 2G+3G+4G ,Access,MDBNL, YES ,No,No,Rural
MW2630, MKAMWA , 35.140100 ,-15.331600 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2623, MANKHOKWE , 35.207500 ,-17.072200 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2687, CHIKUMBA , 34.349911 ,-13.669538 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2657, KACHULUTC , 34.522044 ,-13.634500 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW2200, DZALEKACOW , 33.870451 ,-13.668040 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Residential
