cellID,latitude,longitude,band,antenna,height,azimuth,etilt,mtilt
3011,-14.009843,33.785902,900E,742266,38,100,0,2
3012,-14.009843,33.785902,900E,742266,38,210,0,2
3013,-14.009843,33.785902,900E,742266,38,290,0,2
3021,-13.892158,33.807312,900E,742266,60,40,0,4
3022,-13.892158,33.807312,900E,742266,60,200,0,2
3023,-13.892158,33.807312,900E,742266,60,300,0,2
3031,-13.980810,33.761482,900E,DBXLH-6565C-VTM,30,70,0,2
3032,-13.980810,33.761482,900E,DBXLH-6565C-VTM,30,210,0,3
3033,-13.980810,33.761482,900E,DBXLH-6565C-VTM,30,330,0,2
3051,-13.899956,33.758377,900E,742266,35,60,0,2
3052,-13.899956,33.758377,900E,742266,35,140,0,2
3053,-13.899956,33.758377,900E,742266,35,320,0,2
3071,-13.988470,33.790128,900E,742266,27,90,0,2
3072,-13.988470,33.790128,900E,742266,27,180,0,2
3073,-13.988470,33.790128,900E,742266,27,340,0,2
3101,-13.979105,33.769097,900E,742266,28,90,0,2
3102,-13.979105,33.769097,900E,742266,28,200,0,2
3103,-13.979105,33.769097,900E,742266,28,320,0,2
3111,-14.004398,33.753181,900E,DBXLH-6565C-VTM,29,20,0,3
3112,-14.004398,33.753181,900E,742266,29,130,0,3
3113,-14.004398,33.753181,900E,742266,29,280,0,3
3121,-13.989984,33.781693,900E,739630,40,90,0,2
3122,-13.989984,33.781693,900E,739630,40,200,0,2
3123,-13.989984,33.781693,900E,739630,40,260,0,2
3131,-14.007150,33.823700,900E,742266,38,90,0,2
3132,-14.007150,33.823700,900E,742266,38,220,0,2
3133,-14.007150,33.823700,900E,742266,38,340,0,2
3141,-13.954063,33.751145,900E,742266,45,90,0,2
3142,-13.954063,33.751145,900E,742266,45,200,0,4
3143,-13.954063,33.751145,900E,742266,45,300,0,2
3191,-13.990006,33.753219,900E,742266,30,100,0,3
3192,-13.990006,33.753219,900E,742266,30,200,0,3
3193,-13.990006,33.753219,900E,742266,30,330,0,3
3201,-13.945823,33.790235,900E,742266,44,60,0,2
3202,-13.945823,33.790235,900E,DBXLH-6565C-VTM,44,220,0,2
3203,-13.945823,33.790235,900E,742266,44,300,0,2
3221,-13.939600,33.803900,900E,DBXLH-6565C-VTM,40,60,0,2
3222,-13.939600,33.803900,900E,DBXLH-6565C-VTM,40,170,0,2
3223,-13.939600,33.803900,900E,DBXLH-6565C-VTM,40,350,0,2
3231,-13.979330,33.805750,900E,742266,22,100,0,4
3232,-13.979330,33.805750,900E,742266,22,210,0,2
3233,-13.979330,33.805750,900E,742266,22,320,0,4
3311,-13.960640,33.849480,900E,DBXLH-6565C-VTM,40,0,0,4
3312,-13.960640,33.849480,900E,DBXLH-6565C-VTM,40,90,0,4
3313,-13.960640,33.849480,900E,DBXLH-6565C-VTM,40,250,0,4
3331,-14.059700,33.801970,900E,DBXLH-6565C-VTM,36,10,0,0
3332,-14.059700,33.801970,900E,DBXLH-6565C-VTM,36,130,0,0
3333,-14.059700,33.801970,900E,DBXLH-6565C-VTM,36,240,0,0
3341,-13.974147,33.714043,900E,DBXLH-6565C-VTM,44,90,0,2
3342,-13.974147,33.714043,900E,DBXLH-6565C-VTM,44,210,0,2
3343,-13.974147,33.714043,900E,DBXLH-6565C-VTM,44,330,0,2
3361,-14.030003,33.807593,900E,742266,28,90,0,2
3362,-14.030003,33.807593,900E,742266,28,210,0,4
3363,-14.030003,33.807593,900E,742266,28,330,0,2
3581,-13.917110,33.761200,900E,742266,28,70,0,2
3582,-13.917110,33.761200,900E,742266,28,190,0,3
3583,-13.917110,33.761200,900E,742266,28,310,0,2
3641,-13.935500,33.779100,900E,742266,28,80,0,2
3642,-13.935500,33.779100,900E,742266,28,250,0,2
3643,-13.935500,33.779100,900E,742266,28,320,0,2
3651,-13.874798,33.765450,900E,742266,30,70,0,2
3652,-13.874798,33.765450,900E,742266,30,200,0,2
3653,-13.874798,33.765450,900E,742266,30,330,0,2
3661,-14.000260,33.794630,900E,742266,28,50,0,2
3662,-14.000260,33.794630,900E,742266,28,200,0,3
3663,-14.000260,33.794630,900E,742266,28,330,0,2
3671,-13.912070,33.790910,900E,DBXLH-6565C-VTM,28,130,0,2
3672,-13.912070,33.790910,900E,DBXLH-6565C-VTM,28,200,0,2
3673,-13.912070,33.790910,900E,DBXLH-6565C-VTM,28,350,0,2
3681,-13.977461,33.746500,900E,742266,30,80,0,4
3682,-13.977461,33.746500,900E,742266,30,170,0,3
3683,-13.977461,33.746500,900E,742266,30,340,0,3
3691,-14.007515,33.799463,900E,742266,28,50,0,2
3692,-14.007515,33.799463,900E,742266,28,200,0,2
3693,-14.007515,33.799463,900E,742266,28,320,0,2
3741,-13.955387,33.812775,900E,DBXLH-6565C-VTM,30,80,0,4
3742,-13.955387,33.812775,900E,DBXLH-6565C-VTM,30,200,0,2
3743,-13.955387,33.812775,900E,DBXLH-6565C-VTM,30,320,0,3
3751,-14.000538,33.777454,900E,742266,30,90,0,2
3752,-14.000538,33.777454,900E,739630,30,170,0,2
3753,-14.000538,33.777454,900E,742266,30,320,0,2
3761,-13.991281,33.766568,900E,742266,28,70,0,3
3762,-13.991281,33.766568,900E,742266,28,210,0,3
3763,-13.991281,33.766568,900E,742266,28,320,0,3
3771,-14.015700,33.803700,900E,TBXLHA-6565DC-VTM,30,110,0,2
3772,-14.015700,33.803700,900E,739630,30,190,0,2
3773,-14.015700,33.803700,900E,DBXLH-6565C-VTM,30,280,0,2
3781,-13.960405,33.774268,900E,742266,22,100,0,4
3782,-13.960405,33.774268,900E,742266,22,230,0,2
3783,-13.960405,33.774268,900E,742266,22,340,0,2
3811,-13.934977,33.759932,900E,742266,33,80,0,2
3812,-13.934977,33.759932,900E,742266,33,200,0,2
3813,-13.934977,33.759932,900E,742266,33,340,0,2
3821,-13.975607,33.784912,900E,742266,26,90,0,2
3822,-13.975607,33.784912,900E,742266,26,200,0,2
3823,-13.975607,33.784912,900E,742266,26,330,0,2
3831,-13.992933,33.801778,900E,739630,27,90,0,2
3832,-13.992933,33.801778,900E,739630,27,220,0,2
3833,-13.992933,33.801778,900E,739630,27,340,0,2
3841,-13.830792,33.804692,900E,TBXLHA-6565DC-VTM,26,10,0,0
3842,-13.830792,33.804692,900E,TBXLHA-6565DC-VTM,26,140,0,4
3843,-13.830792,33.804692,900E,TBXLHA-6565DC-VTM,26,240,0,2
3851,-13.973670,33.775640,900E,ATR451607,28,100,0,2
3852,-13.973670,33.775640,900E,ATR451607,28,210,0,3
3853,-13.973670,33.775640,900E,ATR451607,28,300,0,4
3861,-14.007847,33.809514,900E,DBXLH-6565C-VTM,30,110,0,2
3862,-14.007847,33.809514,900E,DBXLH-6565C-VTM,30,210,0,2
3863,-14.007847,33.809514,900E,DBXLH-6565C-VTM,30,340,0,2
3871,-13.981865,33.771734,900E,742266,27,90,0,3
3872,-13.981865,33.771734,900E,742266,27,260,0,3
3873,-13.981865,33.771734,900E,742266,27,310,0,3
3881,-13.960972,33.786588,900E,742266,28,80,0,2
3882,-13.960972,33.786588,900E,742266,28,200,0,2
3883,-13.960972,33.786588,900E,742266,28,340,0,2
3891,-13.889207,33.753068,900E,742266,26,90,0,3
3892,-13.889207,33.753068,900E,742266,26,210,0,4
3893,-13.889207,33.753068,900E,742266,26,0,0,4
3901,-13.952110,33.766690,900E,742266,30,120,0,3
3902,-13.952110,33.766690,900E,742266,30,200,0,3
3903,-13.952110,33.766690,900E,742266,30,350,0,3
3911,-13.995230,33.781220,900E,742266,30,70,0,4
3912,-13.995230,33.781220,900E,742266,30,220,0,4
3913,-13.995230,33.781220,900E,742266,30,350,0,4
3931,-13.885742,33.760922,900E,742266,28,110,0,2
3932,-13.885742,33.760922,900E,742266,28,210,0,2
3933,-13.885742,33.760922,900E,742266,28,350,0,2
3961,-13.920503,33.745706,900E,742266,28,100,0,2
3962,-13.920503,33.745706,900E,742266,28,250,0,2
3963,-13.920503,33.745706,900E,742266,28,320,0,2
3971,-14.017975,33.785665,900E,742266,28,90,0,1
3972,-14.017975,33.785665,900E,742266,28,200,0,1
3973,-14.017975,33.785665,900E,742266,28,290,0,0
