cellID,latitude,longitude,band,antenna,height,azimuth,etilt,mtilt
60117,-14.356200,35.418378,1800DCS,TBXLHA-6565DC-VTM,48,20,0,0
60118,-14.356200,35.418378,1800DCS,TBXLHA-6565DC-VTM,48,110,0,0
60119,-14.356200,35.418378,1800DCS,TBXLHA-6565DC-VTM,48,260,0,0
60807,-16.254410,34.894180,1800DCS,742266V011.pafx,25,0,0,2
60808,-16.254410,34.894180,1800DCS,742266V011.pafx,25,120,0,2
60809,-16.254410,34.894180,1800DCS,742266V011.pafx,25,240,0,2
60797,-16.274397,34.916702,1800DCS,742266V011.pafx,25,0,0,2
60798,-16.274397,34.916702,1800DCS,742266V011.pafx,25,120,0,2
60799,-16.274397,34.916702,1800DCS,742266V011.pafx,25,240,0,2
1267,-15.803580,35.043830,1800DCS,742266,30,30,0,2
1268,-15.803580,35.043830,1800DCS,742266,30,120,0,2
1269,-15.803580,35.043830,1800DCS,742266,30,270,0,2
58027,-9.674547,33.826067,1800DCS,BA-G6W9W9X65V-00M,48,0,0,4
58028,-9.674547,33.826067,1800DCS,BA-G6W9W9X65V-00M,48,90,0,4
58029,-9.674547,33.826067,1800DCS,BA-G6W9W9X65V-00M,48,180,0,4
2157,-15.471750,35.485361,1800DCS,BA-G6W9W9X65V-00M,38,50,0,4
2158,-15.471750,35.485361,1800DCS,BA-G6W9W9X65V-00M,38,200,0,4
2159,-15.471750,35.485361,1800DCS,BA-G6W9W9X65V-00M,38,290,0,4
10777,-15.494475,35.469128,1800DCS,BA-G6W9W9X65V-00M,45,0,0,2
10778,-15.494475,35.469128,1800DCS,BA-G6W9W9X65V-00M,45,120,0,2
10779,-15.494475,35.469128,1800DCS,BA-G6W9W9X65V-00M,45,240,0,2
6917,-12.325859,33.575361,1800DCS,BA-G6W9W9X65V-00M,45,70,0,2
6918,-12.325859,33.575361,1800DCS,BA-G6W9W9X65V-00M,45,240,0,3
6919,-12.325859,33.575361,1800DCS,BA-G6W9W9X65V-00M,45,320,0,1
59017,-12.362121,33.551311,1800DCS,742266,27,20,0,2
59018,-12.362121,33.551311,1800DCS,742266,27,120,0,2
59019,-12.362121,33.551311,1800DCS,742266,27,270,0,2
50127,-16.350521,34.851557,1800DCS,BA-G6W9W9X65V-00M,48,20,0,2
50128,-16.350521,34.851557,1800DCS,BA-G6W9W9X65V-00M,48,160,0,2
50129,-16.350521,34.851557,1800DCS,BA-G6W9W9X65V-00M,48,280,0,4
4787,-13.820730,33.448490,1800DCS,TBXLHA-6565DC-VTM,27,90,0,1
4788,-13.820730,33.448490,1800DCS,742266,27,240,0,1
4789,-13.820730,33.448490,1800DCS,742266,27,330,0,0
2937,-15.780920,34.998720,1800DCS,742266,25,0,0,2
2938,-15.780920,34.998720,1800DCS,742266,25,130,0,2
2939,-15.780920,34.998720,1800DCS,742266,25,270,0,2
567,-13.874337,33.284771,1800DCS,BA-G6W9W9X65V-00M,50,0,0,2
568,-13.874337,33.284771,1800DCS,BA-G6W9W9X65V-00M,50,120,0,2
569,-13.874337,33.284771,1800DCS,BA-G6W9W9X65V-00M,50,240,0,2
59097,-11.311225,33.522105,1800DCS,LBX-6515DS-TOM,48,0,0,1
59098,-11.311225,33.522105,1800DCS,LBX-6515DS-TOM,48,90,0,1
59099,-11.311225,33.522105,1800DCS,LBX-6515DS-TOM,48,240,0,1
63137,-14.283220,33.986670,1800DCS,742266,40,0,0,0
63138,-14.283220,33.986670,1800DCS,742266,40,120,0,0
63139,-14.283220,33.986670,1800DCS,742266,40,240,0,0
60137,-14.784950,34.997919,1800DCS,TBXLHA-6565DC-VTM,48,0,0,0
60138,-14.784950,34.997919,1800DCS,TBXLHA-6565DC-VTM,48,180,0,0
60139,-14.784950,34.997919,1800DCS,TBXLHA-6565DC-VTM,48,260,0,0
57107,-13.303950,33.176163,1800DCS,BA-G6W9W9X65V-00M,48,80,0,0
57108,-13.303950,33.176163,1800DCS,BA-G6W9W9X65V-00M,48,160,0,0
57109,-13.303950,33.176163,1800DCS,BA-G6W9W9X65V-00M,48,270,0,0
26567,-14.119800,33.662100,1800DCS,742266V011.pafx,48,30,0,2
26568,-14.119800,33.662100,1800DCS,742266V011.pafx,48,150,0,2
26569,-14.119800,33.662100,1800DCS,742266V011.pafx,48,290,0,2
50137,-15.372718,35.584658,1800DCS,BA-G6W9W9X65V-00M,35,150,0,4
50138,-15.372718,35.584658,1800DCS,BA-G6W9W9X65V-00M,35,240,0,4
50139,-15.372718,35.584658,1800DCS,BA-G6W9W9X65V-00M,35,320,0,4
26577,-13.634500,34.522044,1800DCS,742266V011.pafx,48,80,0,2
26578,-13.634500,34.522044,1800DCS,742266V011.pafx,48,190,0,2
26579,-13.634500,34.522044,1800DCS,742266V011.pafx,48,270,0,2
26587,-14.683000,34.660800,1800DCS,742266V011.pafx,48,150,0,2
26588,-14.683000,34.660800,1800DCS,742266V011.pafx,48,240,0,2
26589,-14.683000,34.660800,1800DCS,742266V011.pafx,48,330,0,2
40027,-15.697368,35.247190,1800DCS,BA-G6W9W9X65V-00M,40,0,0,2
40028,-15.697368,35.247190,1800DCS,BA-G6W9W9X65V-00M,40,130,0,2
40029,-15.697368,35.247190,1800DCS,BA-G6W9W9X65V-00M,40,230,0,2
61897,-15.790600,34.469930,1800DCS,BA-G6W9W9X65V-00M,48,0,0,0
61898,-15.790600,34.469930,1800DCS,BA-G6W9W9X65V-00M,48,120,0,0
61899,-15.790600,34.469930,1800DCS,BA-G6W9W9X65V-00M,48,240,0,0
6257,-11.426861,33.630166,1800DCS,BA-G6W9W9X65V-00M,68,0,0,2
