cellID,latitude,longitude,band,antenna,height,azimuth,etilt,mtilt
14431,-14.345600,34.548500,1800DCS,BA-G6W9W9X65V-00M,50,0,0,2
14432,-14.345600,34.548500,1800DCS,BA-G6W9W9X65V-00M,50,120,0,2
14433,-14.345600,34.548500,1800DCS,BA-G6W9W9X65V-00M,50,200,0,2
14435,-14.345600,34.548500,1800DCS,BA-G6W9W9X65V-00M,50,0,0,2
14436,-14.345600,34.548500,1800DCS,BA-G6W9W9X65V-00M,50,120,0,2
14437,-14.345600,34.548500,1800DCS,BA-G6W9W9X65V-00M,50,200,0,2
104,-14.345600,34.548500,1800DCS,BA-G6W9W9X65V-00M,50,0,0,2
105,-14.345600,34.548500,1800DCS,BA-G6W9W9X65V-00M,50,120,0,2
106,-14.345600,34.548500,1800DCS,BA-G6W9W9X65V-00M,50,200,0,2
8901,-15.808040,35.058700,1800DCS,A19451801,22,0,0,2
8902,-15.808040,35.058700,1800DCS,A19451801,22,140,0,2
8903,-15.808040,35.058700,1800DCS,A19451801,22,260,0,2
8905,-15.808040,35.058700,1800DCS,A19451801,22,0,0,2
8906,-15.808040,35.058700,1800DCS,A19451801,22,140,0,2
8907,-15.808040,35.058700,1800DCS,A19451801,22,260,0,2
5574,-15.808040,35.058700,1800DCS,742266,22,0,0,2
5575,-15.808040,35.058700,1800DCS,742266,22,140,0,2
5576,-15.808040,35.058700,1800DCS,742266,22,260,0,2
9961,-13.965300,33.786800,1800DCS,ATR451607,28,70,0,2
9962,-13.965300,33.786800,1800DCS,ATR451607,28,170,0,2
9963,-13.965300,33.786800,1800DCS,ATR451607,28,350,0,2
9965,-13.965300,33.786800,1800DCS,ATR451607,28,70,0,2
9966,-13.965300,33.786800,1800DCS,ATR451607,28,170,0,2
9967,-13.965300,33.786800,1800DCS,ATR451607,28,350,0,2
60474,-13.965300,33.786800,1800DCS,ATR451606,28,70,0,2
60475,-13.965300,33.786800,1800DCS,ATR451606,28,170,0,2
60476,-13.965300,33.786800,1800DCS,ATR451606,28,350,0,2
17031,-13.892975,33.800947,1800DCS,TBXLHA-6565DC-VTM,38,80,0,2
17032,-13.892975,33.800947,1800DCS,TBXLHA-6565DC-VTM,38,160,0,2
17033,-13.892975,33.800947,1800DCS,TBXLHA-6565DC-VTM,38,320,0,2
17035,-13.892975,33.800947,1800DCS,TBXLHA-6565DC-VTM,38,80,0,2
17036,-13.892975,33.800947,1800DCS,TBXLHA-6565DC-VTM,38,160,0,2
17037,-13.892975,33.800947,1800DCS,TBXLHA-6565DC-VTM,38,320,0,2
60024,-13.892975,33.800947,1800DCS,TBXLHA-6565DC-VTM,38,80,0,2
60025,-13.892975,33.800947,1800DCS,TBXLHA-6565DC-VTM,38,160,0,2
60026,-13.892975,33.800947,1800DCS,TBXLHA-6565DC-VTM,38,320,0,2
12141,-16.391426,34.893959,1800DCS,TBXLHA-6565DC-VTM,48,0,0,4
12142,-16.391426,34.893959,1800DCS,TBXLHA-6565DC-VTM,48,120,0,4
12143,-16.391426,34.893959,1800DCS,TBXLHA-6565DC-VTM,48,240,0,4
12145,-16.391426,34.893959,1800DCS,TBXLHA-6565DC-VTM,48,0,0,4
12146,-16.391426,34.893959,1800DCS,TBXLHA-6565DC-VTM,48,120,0,4
12147,-16.391426,34.893959,1800DCS,TBXLHA-6565DC-VTM,48,240,0,4
60004,-16.391426,34.893959,1800DCS,TBXLHA-6565DC-VTM,48,0,0,4
60005,-16.391426,34.893959,1800DCS,TBXLHA-6565DC-VTM,48,120,0,4
60006,-16.391426,34.893959,1800DCS,TBXLHA-6565DC-VTM,48,240,0,4
14381,-15.785027,35.000609,1800DCS,APXVBLL26EX_43-C-I20,20,90,0,2
14382,-15.785027,35.000609,1800DCS,APXVBLL26EX_43-C-I20,20,210,0,2
14383,-15.785027,35.000609,1800DCS,APXVBLL26EX_43-C-I20,20,330,0,2
14385,-15.785027,35.000609,1800DCS,APXVBLL26EX_43-C-I20,20,90,0,2
14386,-15.785027,35.000609,1800DCS,APXVBLL26EX_43-C-I20,20,210,0,2
